company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
IRSEA,IRSEA,1.0,,,,,{'IRSEA': ''},{'IRSEA': ''},{'IRSEA': ''},{'IRSEA': ''}
LEBONCOIN,Leboncoin,1.0,{'LEBONCOIN': ''},{'LEBONCOIN': ''},{'LEBONCOIN': ''},{'LEBONCOIN': ''},{'Leboncoin': ''},{'Leboncoin': ''},{'Leboncoin': ''},{'Leboncoin': ''}
Inditex,Inditex,1.0,{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''}
Inditex,Inditex,1.0,{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''}
Inditex,INDITEX,1.0,{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'INDITEX': ''},{'INDITEX': ''},{'INDITEX': ''},{'INDITEX': ''}
Inditex,Inditex,1.0,{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''},{'Inditex': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
GOOGLE FRANCE,GOOGLE FRANCE,1.0,{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''},{'GOOGLE FRANCE': ''}
Pernod Ricard ES,Pernod Ricard ES,1.0,{'Pernod Ricard ES': ''},{'Pernod Ricard ES': ''},{'Pernod Ricard ES': ''},{'Pernod Ricard ES': ''},,,,
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R LA MONDIALE,AG2R LA MONDIALE,1.0000000000000002,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
LVMH,LVMH,1.0,{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''}
LVMH,LVMH,1.0,{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''}
LVMH,LVMH,1.0,{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''}
LVMH,LVMH,1.0,{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''}
LVMH,LVMH,1.0,{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''},{'LVMH': ''}
SNCF,SNCF Mobilité,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},,,,
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
SNCF,Sncf Mobilités,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},,,,
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
SNCF,Sncf,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'Sncf': ''},{'Sncf': ''},{'Sncf': ''},{'Sncf': ''}
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
SNCF,Sncf,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'Sncf': ''},{'Sncf': ''},{'Sncf': ''},{'Sncf': ''}
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
L'OREAL PRODUITS GRAND PUBLIC,L'OREAL PRODUITS GRAND PUBLIC,1.0,"{""L'OREAL PRODUITS GRAND PUBLIC"": ''}","{""L'OREAL PRODUITS GRAND PUBLIC"": ''}","{""L'OREAL PRODUITS GRAND PUBLIC"": ''}","{""L'OREAL PRODUITS GRAND PUBLIC"": ''}",,,,
Groupe Seb,GROUPE SEB,1.0,{'Groupe Seb': ''},{'Groupe Seb': ''},{'Groupe Seb': ''},{'Groupe Seb': ''},"{'GROUPE SEB': '112 Chemin du Moulin Carron, 69130 Écully, France'}",{'GROUPE SEB': '69130'},{'GROUPE SEB': 'Ecully'},{'GROUPE SEB': 'France'}
Mediarithmics,Mediarithmics,1.0,,,,,,,,
EDF,EDF,1.0,{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''}
L'ORÉAL,L'ORÉAL L&D,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}",,,,
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
L'ORÉAL,L'ORÉAL,1.0,"{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}","{""L'ORÉAL"": ''}"
MACIF AVANTAGES,MACIF AVANTAGES,1.0,,,,,,,,
DISNEYLAND PARIS,DISNEYLAND PARIS,1.0,{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''},{'DISNEYLAND PARIS': ''}
NATIXIS,NATIXIS SFS,1.0,{'NATIXIS': ''},{'NATIXIS': ''},{'NATIXIS': ''},{'NATIXIS': ''},,,,
NATIXIS,NATIXIS,1.0,{'NATIXIS': ''},{'NATIXIS': ''},{'NATIXIS': ''},{'NATIXIS': ''},,,,
SFR - ALTICE,SFR - ALTICE,1.0,{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''}
SFR - ALTICE,SFR - ALTICE,1.0,{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''},{'SFR - ALTICE': ''}
SCHNEIDER ELECTRIC,Schneider Electric,1.0000000000000002,{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'Schneider Electric': '35 Rue Joseph Monier'},{'Schneider Electric': '92500'},{'Schneider Electric': 'Rueil-Malmaison'},{'Schneider Electric': 'France'}
SCHNEIDER ELECTRIC,Schneider Electric,1.0000000000000002,{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'SCHNEIDER ELECTRIC': ''},{'Schneider Electric': '35 Rue Joseph Monier'},{'Schneider Electric': '92500'},{'Schneider Electric': 'Rueil-Malmaison'},{'Schneider Electric': 'France'}
Reed Midem,Reed Midem,1.0000000000000002,,,,,{'Reed Midem': ''},{'Reed Midem': ''},{'Reed Midem': ''},{'Reed Midem': ''}
Reed Midem,Reed Midem,1.0000000000000002,,,,,{'Reed Midem': ''},{'Reed Midem': ''},{'Reed Midem': ''},{'Reed Midem': ''}
GROUPE BPCE,GROUPE BPCE,1.0,{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''}
GROUPE BPCE,GROUPE BPCE,1.0,{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''},{'GROUPE BPCE': ''}
Groupe Pichet,GROUPE PICHET,1.0,{'Groupe Pichet': ''},{'Groupe Pichet': ''},{'Groupe Pichet': ''},{'Groupe Pichet': ''},,,,
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP Paribas,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
BNP PARIBAS,BNP PARIBAS,1.0000000000000002,{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''},{'BNP PARIBAS': ''}
Christofle France,Christofle France,1.0000000000000002,,,,,,,,
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,GROUPE CARREFOUR,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''},{'GROUPE CARREFOUR': ''}
Groupe Carrefour,Groupe Carrefour,1.0,{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},{'Groupe Carrefour': ''},,,,
Point P,POINT P,1.0,{'Point P': ''},{'Point P': ''},{'Point P': ''},{'Point P': ''},{'POINT P': ''},{'POINT P': ''},{'POINT P': ''},{'POINT P': ''}
Crédit Agricole | Centre Ouest,Crédit Agricole | Centre Ouest,1.0,12 Place des États Unis,75015,Montrouge,France,12 Place des États Unis,75015,Montrouge,France
Metanext,Metanext,1.0000000000000002,52 Avenue André Morizet,92100,Boulogne-Billancourt,France,52 Avenue André Morizet,92100,Boulogne-Billancourt,France
Groupe RC Concept,Rc Concept (Groupe),1.0000000000000002,12 Rue de Paris,92100,Boulogne-Billancourt,France,12 Rue de Paris,92100,Boulogne-Billancourt,France
DMF Recrutement,DMF Recrutement,1.0,4 Avenue Laurent Cély,92600,Asnières-sur-Seine,France,4 Avenue Laurent Cély,92600,Asnières-sur-Seine,France
Eden-Park,Eden Park,1.0000000000000002,,,,,"{'Eden Park': '10 Rue de Mont-Louis, 75011 Paris, France'}",{'Eden Park': '75011'},{'Eden Park': 'Paris'},{'Eden Park': 'France'}
Qapa,Qapa,1.0000000000000002,"101, RUE DE SEVRES",75002,Paris,France,"101, RUE DE SEVRES",75002,Paris,France
Ca-Loirehauteloire,Ca-Loirehauteloire,1.0000000000000002,"94 Rue Bergson, 42007 ST ETIENNE CEDEX 1",42000,Saint-Étienne,France,"94 Rue Bergson, 42007 ST ETIENNE CEDEX 1",42000,Saint-Étienne,France
PISCINES MAGILINE,PISCINES MAGILINE,1.0,4 Rue Paul Appel,95310,Saint-Ouen-l'Aumône,France,{'PISCINES MAGILINE': '4 Rue Paul Appel'},{'PISCINES MAGILINE': '95310'},"{'PISCINES MAGILINE': ""Saint-Ouen-l'Aumône""}",{'PISCINES MAGILINE': 'France'}
PISCINES MAGILINE,PISCINES MAGILINE,1.0,4 Rue Paul Appel,95310,Saint-Ouen-l'Aumône,France,{'PISCINES MAGILINE': '4 Rue Paul Appel'},{'PISCINES MAGILINE': '95310'},"{'PISCINES MAGILINE': ""Saint-Ouen-l'Aumône""}",{'PISCINES MAGILINE': 'France'}
Growth Makers,Growth Makers,1.0,,,,,,,,
Search Foresight,Search Foresight,1.0,55 Rue Anatole France,92300,Levallois-Perret,France,{'Search Foresight': '55 Rue Anatole France'},{'Search Foresight': '92300'},{'Search Foresight': 'Levallois-Perret'},{'Search Foresight': 'France'}
Search Foresight,Search Foresight,1.0,55 Rue Anatole France,92300,Levallois-Perret,France,{'Search Foresight': '55 Rue Anatole France'},{'Search Foresight': '92300'},{'Search Foresight': 'Levallois-Perret'},{'Search Foresight': 'France'}
Captain Ferry,Captain Ferry,1.0,,92150,,,,92150,,
cognitive-companions.com,cognitive-companions.com,1.0000000000000002,,,,,,,,
Epitech,Epitech,1.0,{'Epitech': '24 Rue Pasteur'},{'Epitech': '94270'},{'Epitech': 'Le Kremlin-Bicêtre'},{'Epitech': 'France'},{'Epitech': '24 Rue Pasteur'},{'Epitech': '94270'},{'Epitech': 'Le Kremlin-Bicêtre'},{'Epitech': 'France'}
Epitech,Epitech,1.0,{'Epitech': '24 Rue Pasteur'},{'Epitech': '94270'},{'Epitech': 'Le Kremlin-Bicêtre'},{'Epitech': 'France'},{'Epitech': '24 Rue Pasteur'},{'Epitech': '94270'},{'Epitech': 'Le Kremlin-Bicêtre'},{'Epitech': 'France'}
Meersens,Meersens,1.0,,,,,,,,
LinkedIn,LinkedIn,1.0,{'LinkedIn': '2029 Stierlin Court'},{'LinkedIn': '94085'},{'LinkedIn': ''},{'LinkedIn': 'United States'},{'LinkedIn': '2029 Stierlin Court'},{'LinkedIn': '94085'},{'LinkedIn': ''},{'LinkedIn': 'United States'}
